생존	A	B	장	절	관
9	7	2	제1장 거시경제학 기초와 국민소득결정	제3절 고전학파의 국민소득결정이론	제1관 세이의 법칙
9	8	1	제3장 화폐금융론	제8절 화폐수요와 금융정책	제2관 케인즈의 유동성선호설
9	7	2	제4장 총수요·총공급이론	제11절 총수요·총공급	제4관 수요충격·공급충격
9	7	2	제6장 거시경제학파와 안정화정책	제17절 안정화정책과 관련된 논쟁	제3관 정책의 시차
9	5	4	제3장 공공지출이론	제6절 정부지출과 예산제도	제2관 예산의 원칙
10	9	1	제6장 조세의 경제적 효과	제12절 개별조세이론	제2관 법인세
10	7	3	제7장 재정학의 기타주제	제15절 공공요금의 이론	제1관 자연독점과 공공요금
10	10	0	제1장 거시경제학 기초와 국민소득결정	제1절 거시경제학의 기초	제1관 거시경제학의 주요 변수와 이슈
10	6	4	제5장 시장이론	제17절 게임이론	제3관 순차게임·반복게임
10	10	0	제7장 일반균형이론과 후생경제학	제22절 후생경제학	제3관 애로우의 불가능성 정리
11	8	3	제2장 국제금융론	제4절 국제수지론	제2관 국제수지 조정이론 (탄력성·흡수·통화접근)
11	8	3	제5장 인플레이션과 실업	제12절 물가와 인플레이션	제3관 인플레이션의 비용
11	6	5	제5장 시장이론	제17절 게임이론	제2관 죄수의 딜레마
11	6	5	제8장 시장실패와 정보경제학	제23절 시장실패	제2관 외부성
11	4	7	제8장 시장실패와 정보경제학	제24절 정보경제학과 행동경제학	제2관 신호발송·선별
11	7	4	제8장 시장실패와 정보경제학	제24절 정보경제학과 행동경제학	제3관 행동경제학 기초
11	4	7	제7장 일반균형이론 및 후생경제학	제21절 일반균형이론과 경제적 효율성	제2관 에지워스 상자와 파레토 효율
11	11	0	제7장 일반균형이론 및 후생경제학	제22절 후생경제학	제3관 애로우의 불가능성 정리
12	8	4	제6장 거시경제학파와 안정화정책	제15절 각 학파 모형의 주요내용	제2관 통화주의
12	3	9	제2장 수요·공급의 이론	제5절 수요·공급이론의 응용	제3관 보조금의 효과
12	5	7	제3장 소비자이론	제6절 한계효용이론	제2관 한계효용 균등의 법칙
12	7	5	제4장 생산자이론	제11절 생산이론	제2관 단기생산함수 (한계생산·평균생산)
12	8	4	제5장 시장이론	제13절 완전경쟁시장	제3관 장기균형
12	8	4	제8장 시장실패와 정보경제학	제23절 시장실패	제4관 코즈 정리
13	7	6	제5장 조세의 초과부담 및 최적과세론	제10절 조세와 효율성 : 초과부담	제1관 초과부담의 의의와 측정
13	6	7	제6장 조세의 경제적 효과	제12절 개별조세이론	제4관 재산세
13	12	1	제1장 거시경제학 기초와 국민소득결정	제2절 국민소득의 측정과 경제구조	제1관 GDP·GNI 등 국민소득 지표
13	7	6	제3장 화폐금융론	제8절 화폐수요와 금융정책	제3관 보몰-토빈 모형·프리드만의 신화폐수량설
13	1	12	제4장 총수요·총공급이론	제9절 IS-LM모형	제3관 IS-LM 균형
13	6	7	제4장 생산자이론	제11절 생산이론	제4관 규모에 대한 수익
13	11	2	제6장 생산요소시장과 소득분배	제19절 불완전경쟁 요소시장	제3관 쌍방독점
13	10	3	제7장 일반균형이론과 후생경제학	제21절 일반균형이론과 경제적 효율성	제3관 효율성의 조건
14	7	7	제7장 재정학의 기타주제	제16절 공채론	제3관 리카도의 등가정리
14	9	5	제4장 총수요·총공급이론	제11절 총수요·총공급	제1관 총수요곡선의 도출
14	12	2	제6장 거시경제학파와 안정화정책	제16절 새고전학파·새케인즈학파	제2관 새케인즈학파 (가격경직성·메뉴비용)
14	3	11	제7장 경기변동과 경제성장	제19절 경제성장론	제2관 솔로우 성장모형
